BB Number,Prioritized for 2023-2024,Name of BB,Goal/Target of the BB,Notable links to other BBs,Canada's participation in the BB working group,Guidance and/or Best practives and /or Stocktake report published by group (Y/N and explain),Relevance for Canada,Relevance for Canada (Rationale),Relative Position of Canada,Relative Position of Canada as of 2021 (Rationale),Data Currently in Use,Data Potentially Leverage,Links with domestic Payments Modernization work,Links with domestic Payments Modernization work (Details),Timeline for modernization item(s),Other details,Potential further work/intiatives needed in Canada (beyond Payments Mordernization Plan)? ,Key partners for domestic implementation/adoption
BB1,Y,Common vision and targets,Developing a common cross-border payments vision and targets,"BB10, BB12, BB13",FIN (Jan Wollenberg),"Y  
(Targets published in Oct 2021: https://www.fsb.org/wp-content/uploads/P131021-2.pdf;  
Consultation report on KPIs for Targets published on 7 July 2022: https://www.fsb.org/wp-content/uploads/P060722.pdf)",High,G20 leaders have endorsed the Targets,-,"Given data limitations, it is difficult to ascertain where Canada lies with respect to its peers in terms of the targets. 
This data constraint is a common issue for other G20 countries as well.","There is very little data available for measuring the speed, cost and transparency of cross-border payments in Canada. The only exception to this is the WBG data on remittances, which published quarterly for a large number of countries inlcuding Canada. 

The analysis done to date by the WG has been based on case studies, surveys and discussions with operators, PSPs and other relevant stakeholders.",Work has started at the Bank (as of Fall 2022) to identify data gaps in Canada and assess the potential sources of domestic data in order to measure ourselves along the targets.,N,-,-,-,"There still remains a lack of clarity on what, if any, the role of individual jurisdictions will be in terms of identifying their own perfomance relative to the targets. The FSB WG (i.e. the TDG) is still working on this aspect and should be able to provide further clarity in 2023 (exact timing TBC). 

If juridictional-level data is deemd to be useful or necessary (for showing adherence to the FSB's targets) and the data gaps in Canada are found to be signifiant, then industry support/efforts might be needed to help address the gaps.","Not clear at this stage if braod-based engagement is required. However, if further work is needed, then at a minimum PayCan and FIN would need to be involved."
BB2,N,International guidance and principles,Implementing international guidance and principles,,FIN (Jan Wollenberg),N,Low,-,High,-,-,-,N,-,-,-,-,-
BB3,N,Common service level features,Defining common features of cross-border payment service levels,,-,N,Low,-,-,-,-,-,-,-,-,-,-,-
BB4,Y,Alignment,"Aligning regulatory, supervisory and oversight frameworks ",,FIN (Jan Wollenberg),N,Med,-,-,-,-,-,-,-,-,-,-,-
BB5,Y,AML/CFT rules application,Applying AML/CFT rules consistently and comprehensively,BB8,-,,High,-,-,-,-,-,Y,-,-,-,-,-
BB6,N,Data frameworks and payment interactions,Reviewing the interaction between data frameworks and cross-border payments ,,-,N,Low,-,-,-,-,-,-,-,-,-,-,-
BB7,N,Payment corridors,Promoting safe payment corridors,,-,N,Low,-,-,-,-,-,N,-,-,-,-,-
BB8,Y,KYC,Fostering KYC and identity information sharing,BB4,-,N,Med,-,-,-,-,-,Y,-,-,-,-,-
BB9,N,PvP,Facilitating increased adoption of PvP,BB17,-,N,Low,"Canada is part of the CLS currencies. Large value cross-border transactions are done using CLS. It is unclear how relevant this issue (of not using PvP) is for other types of payments (i.e. retail, remittances)",High,Canada is part of the CLS currencies. Large value cross-border transactions (most of which are in USD or EUR) are done using CLS.,Survey and informal discussions at the CPMI level.,It would be useful to review the BIS triennial survey and CLS data to see how big the share of non-PvP transactions is for Canada,N,CAD is already part of the CLS currencies and large FX transactions use PvP via CLS.,-,-,"Need to better understand how much cross-border transactions are done through CLS vs bilaterally or other channels. If there is a non-trivial amount of cross-border payments in Canada that are not done using PvP, then we should consider way to promote the use of PvP.",Regulated banks and other deposit taking entities 
BB10,Y,Access,Improve direct access to payment systems (for providers of cross-border payment services); have an open and market neutral access policy,"BB1, BB13, BB17, BB18, BB19",BOC (Sajjad),"Y
(Internal report (based on BB10, Action 1) is available to CPMI members.; 
Action 2 report published in May 2022: https://www.bis.org/cpmi/publ/d202.pdf",High,"An open access policy is closely related to innovation and efficiency in the market. While public plicy objective in Canada evolve around safety and resilience, the Payments Mordernization Plan (see relevant column) acknowledges the relevance of innovation in achieving safety and resilience.",Med,"There are two reasons for ""medium"" standing of Canada in this area. CP Act already allows foreign bank participants in Lynx and ACSS. There are ongoing efforts to further expand membership of Payments Canada. In addition, the Bank's settlement accont policy for Lynx and RPAA has been published:
https://www.bankofcanada.ca/wp-content/uploads/2022/09/Access-to-Bank-of-Canada-Settlement-Accounts-for-Lynx-and-ACSS.pdf
https://www.bankofcanada.ca/wp-content/uploads/2022/09/Access-to-Bank-of-Canada-Settlement-Accounts-for-the-Real-Time-Rail.pdf

As background: Direct access has two (related) aspects: direct access to the payment system and account access at the central bank. 

Many advanced and emerging economies allow both types of access to a broader range of entities, including foreign FIs (eg Switzerland), fintechs (eg HK, Australia), and non-bank PSPs (eg UK).  In Canada, direct access to the payment system is quite narrow and is controlled by the CP Act. In constrast, the Bank allows account access to a wider range of entities, including (dometic and foreign) FMIs. 
","CPMI Survey on access practices across jursdictions. Committee and WG discussions/info sharing. The CPA mandates that the following should be members of Payments Canada:  “(a) the Bank of Canada; (b) every bank; (c) every authorized foreign bank; and (c.1) every cooperative credit association, loan company or trust company that is designated as a bridge institution under the Canada Deposit Insurance Corporation Act.” In addition, a number of financial entities (e.g. life insurance companies, trust and loan companies) are eligible for membership but are not obliged to do so.  At the end of 2020, there were 111 members of the association.  According to Lynx Rule 3, the following conditions also need to be met in order to participate in Lynx: (i) Confirmation from the Bank that the applicant has been approved for accounts at the Bank needed for the purpose of Settlement of Lynx Payment Obligations and the making and repayment of Intraday Loans and Overnight Advances, and related requirements, as set out in the Lynx By-law; (ii) confirmation from SWIFT that: the applicant is a member of SWIFT; the SWIFT BIC address(es) associated with the application is/are designated as a Canadian address(es);  the applicant has completed all qualification and certification tests required by SWIFT; (iii) a description by the applicant of its back-up capability for its Lynx operations.
Lynx currently has 17 direct participants (including BoC) and 52 indirect participants.

Number of settlement accounts at the BoC
-	Payment system settlement accounts
o	Lynx: 17 (including the Bank)
o	ACSS: 12 (including the Bank, soon to be 13, all but one are also Lynx)
o	RTR: TBD (anticipate around 18 at go-live next year, 14 are likely existing Lynx/ACSS settlement account holders)
-	FMI settlement accounts (some of these entities have associated accounts for cash collateral and default fund)
o	Domestic FMIs: 2 (CDCS, CDSX)
o	Foreign FMIs: 2 (CLS Bank, SwapClear)
-	Other entities:
o	There is one non-designated FMI with a cash collateral account
o	GoC has two accounts: prudential liquidity fund and consolidated revenue fund
o	Official sector accounts >80; this includes foreign central banks, official international financial orgs (BIS, IMF, etc…), and two Crown corps (CDIC, CMHC)","Analysis of shares and absolute number of Fis, PSPs, non-banks, etc with direct access to ACSS, LYNX, RTR. Number of FIs with settlement accounts as a share of all FIs; number of non-bank PSPs, fintechs, foreign banks etc with settlement accounts (both absolute numbers and as a share of market segment). ",Y,"While, currently Canada has less open access policies than its international peers (i.e. many G20 countries), it has plans to expand access as part of the modernization plan. In particular, access to LYNX will likely be expanded to cover FMIs and other non-banks entities, and RTR will have a wide range of participants, including non-bank PSPs.",2022-25,"https://modernization.payments.ca/wp-content/uploads/2018/06/modernization_target_state_en_final.pdf; 

","Over the medium-term (post RTR go-live) potentially consider access (both to payment systems and to central bank accounts) to non-bank PSPs (domestic and foreign) and fintechs/techfins/bigtechs.

The Bank is conducting a holistic review of its account access policy for FMIs. It has used the BB10 report as one inputs into this work.",Payments Canada; Finance; BoC
